smiles,valid
CCOC(=O)C1CCCN(S(=O)(=O)c2ccc(OC)cc2)C1,True
CCn1cnnc1C1CCCN(c2nccnc2OC)C1,True
Cc1nnc2n1CCN(C(=O)c1cn(C)nc1C(C)(C)C)C2,True
Cc1nc2ccccc2n1CCCNS(=O)(=O)Cc1ccccc1,True
CCc1onc(C)c1NC(=O)c1ccc(-n2cncn2)nc1,True
O=C(c1cncc(-c2ccc3c(c2)OCO3)n1)N1CCCCC1,True
O=C(NCCCN1CCOCC1)Nc1cccc(F)c1F,True
CC1(C)OCC2(CO1)CN(C(=O)Cn1ncc3ccccc31)C2,True
CC(c1nc(-c2cccnc2)no1)c1ccc2cc[nH]c2c1,True
COc1ccc(CCNC(=O)c2ccc[nH]c2=O)cc1OC,True
Cc1cnn(CCC(=O)Nc2cc(F)ccc2OCC2CCCO2)c1,True
O=C(Nc1ccc(Oc2ccccc2)c2ncccc12)c1ccncc1,True
CC(C)n1nccc1-c1nnc(NC(=O)c2cc3ccccc3o2)o1,True
CCOc1nnc(CN2CCN(C(=O)c3ccc(O)cc3)CC2)s1,True
Nc1ccc2oc(C(=O)Nc3ccccc3)cc(=O)c2c1,True
Cc1ccccc1C(C)Nc1c(C#N)cnc2ccc(F)cc12,True
Cc1cn2c(CN(C)C(=O)c3cnc(C)nc3)c(C)nc2s1,True
COc1cccc(OC)c1OCc1ncc(Cl)c(C)c1CO,True
O=C(C1CCC(O)CC1)N1CCN(c2ccccc2O)CC1,True
CC(C)n1cnnc1C(C)NC(=O)C(C)(C)c1ccccc1F,True
CCN1CC(C(=O)NCc2ccccc2OC(C)C)CC1=O,True
Cc1cc(C(=O)OCCCC(N)=O)c(C)n1C1CC1,True
CSc1ccc(NC(=O)COc2ccccc2)cc1,True
Nc1cc(N)nc(SCC(=O)NC2(c3ccccc3)CCC2)n1,True
CC1=CCC(=O)N(CC(=O)NCCCc2ccc(F)cc2)C1,True
CC(=O)NCc1ccc(-c2csc(NC(C)=O)n2)o1,True
CCc1noc(-c2ccc(NC(=O)C(C)(C)C)cc2)n1,True
CCN(CC1Cc2ccccc2CN1C)C(=O)COc1ccccc1,True
CC(C)(CNC(=O)N1CCC(N2CCCC2=O)CC1)c1ccncc1,True
COc1ccc(OC)c(NC(=O)NCCCn2cccn2)c1,True
CC(CNc1ccc(C#N)cc1F)N1CCOCC1,True
Cc1ccc(N2CCN(C(=O)c3ccco3)C(C)C2=O)c(C)c1,True
COC(=O)CNC(=O)c1ccc(S(=O)(=O)NC(C)(C)C)cc1,True
COc1ccc(CC2Oc3ccc(C)cc3NC2=O)cc1N,True
CCc1noc(C)c1C(=O)OCC(=O)Nc1ccc(F)cc1Cl,True
COc1nn(C)cc1C(=O)NCc1cnc(-c2ccccc2)s1,True
Cc1nnc(N2CCCC3(C2)C(=O)N(C)c2ccccc23)s1,True
c1ccc2sc(N3CCC4(CC3)OCCO4)nc2c1,True
CCOc1ccc(C(=O)Nc2ccccc2F)cn1,True
CC(=O)c1cccc(NC(=O)NCC(=O)N(C)C)c1,True
CN(C)C(=O)C1(C)CN(C(=O)c2cnccn2)CCO1,True
CCOC(=O)c1cnc(C(=O)Nc2c(C)noc2CC)cc1C,True
CCc1c(C(=O)Nc2c(C)cccc2C)[nH]c(C)c1C(C)=O,True
Cc1cc(C)n2nc(C(=O)NCc3cccc(Cl)c3)nc2n1,True
CC(=O)c1cccc(OCC(=O)NC2CCCC(C)C2C)c1,True
